Days,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
01/01/2018 08:00,2016730320,6559877531,11178680.99,220096758.3,12766336003,9838906254,68047529.46,15674605.5,1554591472,3337917165,17238168436,14679325813,3248363038,1417260202,6127005109,15054753337,3827.717778,3840.46,22676911670,34736537072,38420292.76,141925547.3,1678724985,1231952468,1569703669,2987886787,3926407923,6210077100,1109242703,8683116412,29525708409,32127050406,957578154.6,7241650791
01/01/2018 09:00,1871436823,4165667162,7070847.418,224528257.8,11827062231,9088111537,119746666.4,2550746.845,1657737768,2763024674,13786362702,13868317658,2779569236,1130559289,4952796148,10962377625,3823.146667,3830.611111,19204761733,29594042920,30619787.54,120940094.5,1175052658,1841931236,1670442609,2786659614,2726693137,5627768177,1242255684,5181239326,23231049867,30542821342,1846840168,3695483905
01/01/2018 10:00,1991793276,2589278229,51328261.22,229200120.9,10911531173,7944179679,64601125.45,2678000.126,1306412320,2754519893,11477929401,13335594079,2792760265,1215231005,7193835171,18401709781,3845.417778,3849.735556,23845902478,25725732475,23608471.74,145822791.8,1308861557,2065786189,1468039440,2165913597,4623651812,6190881743,2006321817,12242859279,30538758725,27252911164,1947976077,5325143249
01/01/2018 11:00,1924069523,3532163014,5217827.155,212289872.7,9910009304,7610080459,63623671.79,2251643.45,529925362.6,2724323360,11853122399,12392869501,2467434720,561364489.8,4389148426,7153226446,3830.382222,3835.404444,19537894229,25500481753,31448969.64,122082086.5,3155337693,1163916820,1406787784,2053214224,2483064529,2286046380,1073180847,4717642252,25702147618,28311807743,2217494258,2194284219
01/01/2018 12:00,1814328777,2058993176,7495363.42,213758038,8953243219,8567450945,66629264.39,31170663.16,1121434897,2974257785,11276205099,11034395827,2916284945,1304424970,2982567629,4568828961,3827.406667,3837.168889,16682269343,15466193328,69561978.62,229401446.1,2007184572,862489494.3,2328494132,2735492693,1020563189,2556964010,864506881,1987249399,24456493098,19851990236,1115394286,3096372928
01/01/2018 13:00,1651792306,3336335048,5446681.048,213549005.5,8836567054,8117340321,77675217.48,2924115.313,784607245,2904432597,12172739587,10831063412,2881698779,837257037.3,5078841529,6674401025,3835.542222,3835.317778,15933341197,19398191368,35563440.42,120618965.7,1651668799,1165340467,1967687510,2212699949,1950718187,4193035610,2095669115,2365350917,21935757803,20749556172,400866455.3,2435066124
01/01/2018 14:00,952203266.1,1630390008,16185130.07,224409903.9,8520826903,7043630805,79410522.16,2991044.946,682920599.8,2749653326,9125269687,9480675103,2785732769,665156699.7,3234124356,3173909500,3847.031111,3836.384444,14356439189,18360764382,34111735.19,161515688.6,1075327735,1953011814,1919792870,2147955444,872758944.3,1456975416,1322850060,1706671051,19780200350,25183101144,1205670318,2431454469
01/01/2018 15:00,1925372952,1262628720,13516206.67,219994931.3,8647747282,8421993773,68272983.97,2968869.915,956030852.7,2556948023,10634295322,10950735461,2340492279,798840639.8,3330003046,3277834047,3825.591111,3839.815556,15333789962,15984132828,41357753.09,115289724,557791937.7,3083020571,1945707120,2520501765,1182857345,2659308946,991734394,402269859.5,20559721946,21953709409,636704048.8,1762252012
01/01/2018 16:00,1423740537,2020546565,15003268.57,217966287.8,8670190672,7097895395,122837039.8,6059518.063,1241849196,2737078939,9596140163,10467592823,2825191978,939352601.1,1941197945,2247488466,3830.782222,3843.94,17826569881,17458532676,32772914.49,126631744.9,1146359491,5400425462,1829939022,2613138796,579154059.7,1785173743,318333405.9,497139194.7,27998873491,18997712774,590283749.9,6578175040
01/01/2018 17:00,1011553514,1933278415,51352961.81,220968782.9,7781091217,6274101497,67654274.72,43109970.44,1050654791,2528223086,8852167151,9421360136,2547140781,987007695.6,3350449084,2276750025,3843.584444,3830.786667,13912279530,19150860614,29892970.83,106213469.4,860683974,2559300138,1960375819,2664957016,765260764.7,1905074412,1659557151,346383572.1,18547176833,19452578657,1008237875,1222680856
01/01/2018 18:00,1178086648,1797632841,14441819.89,222253871.2,9211951959,6852062162,65744765.39,20503343.79,800301480.9,2765990604,9295844073,10754641544,2529044597,821779468.9,2437085522,1648672178,3827.646667,3833.542222,12865065983,16993059026,39079354.72,214748956,716070121.7,3193827332,2048207585,2776965297,618375245.7,1267352878,910713342.5,273087138,16552652200,19273375493,680393371.3,4861187050
01/01/2018 19:00,2696748488,1865025160,13751050.76,222311865.5,9289311505,6393223414,175132574.5,18669054.89,892735524.6,2357426283,8927170673,12037747934,2298530132,887181742.4,4779308903,3949886715,3832.377778,3834.391111,13136783035,19786599872,57284449.36,150173705.1,1322628785,1980971136,2000216271,2555379888,1219030721,2727688488,2749361338,1191382334,17771563423,19027497803,1007894937,8452759701
01/01/2018 20:00,1602769819,2018501525,18300901.24,224297804,10295146360,7928126054,67297396.27,4864953.424,1347133360,6178181631,10191116115,11955210742,6008272182,1290633139,2347887393,3844398787,3842.98,3841.78,10544658482,17525353873,39023820.19,135797797.3,3562075130,2011923569,1461301977,2360561329,605929899.8,3423791917,653328848.9,346213289.7,15565547001,15633714267,543468330.5,2166877057
01/01/2018 21:00,1778336327,2768248749,21896250.53,242758648.5,9487534011,8589205831,68435745.92,24116498.56,923237390.7,6755858230,11969061181,11515707618,6606277323,943742652,5333597177,4763717981,3844.244444,3841.697778,11785104157,15808262088,22988358.69,170685026.4,4146681070,3483384463,1718394668,1986881497,3307735449,4211502350,1171920105,454841874.4,17546393093,14916691755,1212879431,5560818895
01/01/2018 22:00,1912237966,2740971807,14081745.01,255491719.8,9901193886,7051834808,68238708.45,3990808.347,531744427.5,5631861369,10615142246,12040989286,5515062914,537721309.5,5937298842,2705281936,3829.586667,3838.062222,15348776716,17314350168,35967056.71,110097800.6,827495541.6,5263225834,1562947013,1309309738,4236959302,2505320619,1169594121,91937339.36,15248689254,16918707025,1494054203,3393172898
01/01/2018 23:00,1570756339,2571794246,13456474.8,236551340.5,9193983184,6681883186,71442027.5,18927611.85,482541690.1,5265141402,9798446683,10925262966,5332219071,480100394.8,7081468594,2480670656,3826.946779,3838.408964,13868447628,15291595208,26828655.72,145455904.7,724891282.9,5642498451,1309924465,978192100.2,4059106901,1245066203,2494177750,1073365692,16054936655,20327202161,1005594925,1017051228
02/01/2018 00:00,1443267538,2466108041,56825448.45,215409346.1,9613678525,6950779405,69276171.66,2895235.792,937156732.7,5015772030,10387007142,11502245733,5000696713,799428436.2,6079277223,27859089681,3839.939496,3831.780392,19740553206,18792410798,30892788.85,226413031.9,556301496.8,2832686772,1782340469,1129867290,2515907480,12489236492,2479682876,15330378567,23771362248,21746297230,1516310574,5634500949
02/01/2018 01:00,4966962364,2547286205,10017774.92,229572938.4,9326207247,5806853623,150315838.7,17308661.12,1080183892,4982798687,9744423756,14868551134,4933573714,1085123685,7575371421,24068165540,3837.628889,3849.837778,25002458944,26376050744,38808694.19,125729559.5,942611392.3,2426446404,2011726244,1488305619,4825111873,8046543771,1781156583,15943125909,30633524293,24412917440,2182540812,5718151216
02/01/2018 02:00,1478254609,4903326143,15601475.47,223215094.3,9079106564,6941627708,68207209.09,3749158.099,1237930786,5181014005,12588115956,10898520516,4719887408,1148834544,8941237778,21831275799,3827.268889,3842.435556,23501213250,23249177443,68981084.56,120246988.7,2026016547,1487903040,1522363964,823022854,4741251877,2913140278,3569956609,18817055942,23897669905,29693469894,2827402180,1715937301
02/01/2018 03:00,1407583897,5013259619,14266884.17,218773334.4,8932973299,7080279405,82666504.35,4676606.876,1022735031,5614373348,12923534111,10697092663,5539181530,759963667.1,12075328914,7725419254,3822.16,3848.313333,21711117272,18759330434,45050450.63,182566754.3,6215624614,1930792419,1560268224,1540230649,5091516899,2031388304,6068239870,5652249642,28412026878,23121051754,937272079.7,1187013105
02/01/2018 04:00,3188601262,2130733135,9173018.28,216507156.1,7946991147,10110908030,81834320.39,3610913.231,1145915638,5586411993,12988457823,11226075720,5526857177,1039759403,9767226008,26972849887,3831.84,3842.746667,23399720369,24858833623,41385203.79,166342767.6,1673055319,2343667713,1282173395,1569027459,4830907570,7689404016,4476428920,19281830149,27111352438,30487156249,2325248721,1770102722
02/01/2018 05:00,1726516128,1589458322,55217763.96,217998755.7,8286318890,9604224810,80604207.99,33709135.22,821512871.8,6263305218,11949881612,10472530857,6195040891,839974358.6,10086525698,23916907360,3836.973333,3840.746667,22706217682,21237194066,50168982.09,109231841.8,1995147687,2312195113,1644590824,1719120964,4057249449,6317555076,5047990970,17591472426,28911167147,26183365973,1101772815,1259528783
02/01/2018 06:00,1632381924,3881985749,20673258.04,221712777.8,7463271615,9486287470,80822492.03,45842841.39,709201191.6,5889472741,14143297466,9473106075,5860583435,751926520.7,13201458377,19668302549,3826.842222,3836.211111,21383273918,21088340799,86164147.18,216636222.5,2834545912,2967306967,1232795542,1237366370,6926231449,6849270460,5667573850,12663444523,32452379032,27878224601,1480870744,5106437835
02/01/2018 07:00,3132613265,4300429290,11269822.97,224466522.2,7553733860,7723708941,136220457.2,3231782.05,1200552598,5901174812,13092225533,11004176575,5706347939,1094888512,14881097930,6554262343,3833.333333,3836.744444,14983171539,23406932805,49711514.03,106691196.1,1581509991,1903582705,941218771.7,1431419860,7372106499,3334789119,6769332647,3178104748,34065506675,32207022091,901855934.7,12375062808
02/01/2018 08:00,1870422555,2765262224,5356494.953,222428272.2,8376269609,5899028038,85828370.69,3159970.049,788817975.4,5835009208,9447027682,10761669964,5743062154,844808794.3,13788145299,5617484516,3826.962222,3850.64,16535879198,26073890154,53601947.59,120605572.6,783317219.2,1333470926,1339350345,1060814303,4998035348,2667265939,7882594473,2963149886,19975905923,27545164293,1563246762,5266875275
02/01/2018 09:00,1452275241,1678829421,11984783.42,229974122.1,8203443378,5462711565,82240434.36,2671100.559,1019127345,5906154073,8415276869,10079191202,5834380674,1047390377,9135244666,11138875857,3826.604444,3838.782222,17284135879,21940434122,52148696.16,170078106.4,397969752.6,1941759219,972266807.1,1627444385,2870870038,1733589621,4928754796,9398184929,14859510857,24579509928,1501875982,3405951237
02/01/2018 10:00,10857942555,1715112886,51954911.46,227520525.3,8657273985,7612888266,81146988.7,36143772.71,1002788198,6127446406,9875020920,20113000215,6015186827,933254362.9,11428229702,17178358193,3827.526667,3838.115556,16249063493,34280370557,47385530.51,153708015.9,646771884.2,1958262533,901301577.1,1503989709,4633339207,7922799939,5100055898,9264152578,25042485554,26388901313,1159102001,6674179551
