Days,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
16/10/2018 00:00,298.2263021,364.4173997,2.20135543,38.48254379,1593.522462,2342.205445,12.57129461,2.429204669,221.8300086,639.1684466,3038.660263,2532.918323,617.8936729,242.9660761,536.574543,352.2844174,5654.384231,2658.911045,774.3880632,2821.124508,2344.85541,1233.399364,2128.24541,2205.765856,1143.740056,273.0586482,543.5448069,347.8296798,4410.267499,2411.257769,4083.496898,6904.156344,971.1552299,585.6528503
16/10/2018 01:00,237.4357169,462.2492658,11.99692836,24.62008218,1617.033434,2116.058574,11.20833048,1.446469559,126.8483461,563.7170886,2841.640786,2558.222984,521.1547739,150.3445888,655.191983,267.8999768,6123.086753,3610.497325,694.9736543,2960.172635,2181.745925,1335.794233,2230.006882,2228.603033,1147.733142,338.9798594,660.2523257,275.3345074,4606.081504,2448.702371,4579.987347,7620.593864,918.0148775,719.1411973
16/10/2018 02:00,204.1501277,641.9444133,1.439720279,28.85459884,1349.758564,2031.47687,12.24540214,3.706238852,134.6276555,564.9454423,2935.303315,2273.447047,533.5489046,144.325321,760.9635124,171.9000882,5433.842609,2274.580102,686.9917377,2911.883532,2119.900384,2291.870176,2201.315348,2102.097576,744.1410475,473.2767655,760.5569084,168.4746512,4060.372136,2879.20252,4247.329874,6759.717176,713.7246408,903.5773999
16/10/2018 03:00,142.5840687,339.7140289,1.945883749,36.03298234,733.1281205,2548.83227,11.72804968,7.286058276,137.5127363,505.1348432,3158.510908,1602.350766,466.9444923,165.3361301,883.944343,145.7814906,4759.969613,2107.654833,544.5542178,2425.131625,2417.337116,2067.6815,2129.428665,2091.697847,577.1801427,415.8732366,889.1677617,143.8303229,4457.416745,1841.742072,3547.33448,6205.642806,765.4246679,901.8497042
16/10/2018 04:00,429.3053595,493.6924826,1.606455292,25.33360391,962.2073399,1955.298363,11.17878034,2.378737956,161.8211264,512.2367922,2718.553242,2090.785477,489.1801446,151.1663764,1182.477018,276.8650257,4858.412095,2433.907532,673.3687976,2780.587905,2744.173171,1409.452032,2173.219211,2350.825861,685.8426027,331.9245574,1177.313635,271.5968043,3575.381638,2040.204663,3629.467995,6676.882832,938.1076702,764.5898898
16/10/2018 05:00,183.1882813,621.8555978,1.633143558,23.64206787,1438.687058,1882.379574,11.14560018,2.033801419,117.5908649,489.7208492,2721.363836,2369.289487,450.1503286,138.3737392,1283.685811,378.8642012,4360.582358,3527.081854,637.8140905,3151.200746,2605.244713,1866.767893,2171.859358,2164.712921,558.4607627,341.8616704,1292.394841,384.1637142,3553.772163,2097.382802,4848.196866,7045.991452,834.4340517,1264.993797
16/10/2018 06:00,189.0386774,458.3254558,2.277082737,25.61589121,1518.138298,2045.932002,10.70557898,3.980226931,161.2820894,399.6639588,2784.89814,2460.597316,376.2142766,182.8546388,1466.537218,388.3502041,4660.07956,1982.496385,779.3288947,2754.979006,2483.763179,1346.892395,2119.919158,2218.684528,685.2293524,322.1157347,1469.424437,385.0346573,3200.990824,1587.254695,4168.901286,6933.081221,922.1762812,935.342385
16/10/2018 07:00,205.2861276,360.9584741,2.453823362,33.74758641,2693.06852,2033.310314,11.53960244,7.165718431,146.2915959,386.9090307,2688.131095,3656.290449,373.9026064,169.4947863,1426.616975,396.703076,5019.141649,2260.364958,623.6757466,3278.882399,3319.970308,1266.016587,2182.903375,2213.902368,784.3373134,317.2728914,1427.23685,389.7414949,4015.978447,1564.755146,4331.221992,7547.895045,1089.275449,763.8243578
16/10/2018 08:00,389.3706558,536.3885457,2.423207797,25.47249075,2170.625633,1811.830516,12.40529591,0.454954631,163.3620827,339.6808685,2664.035499,3265.958463,338.2929775,170.2261564,1557.639575,342.8137076,4871.354609,3057.892287,658.4684489,2690.46377,3553.141324,1341.065812,2321.780469,2244.645762,1096.391914,349.1597422,1563.848628,346.7529153,3801.98968,1968.051571,3961.206121,7740.348566,1162.926546,885.5650739
16/10/2018 09:00,187.9392461,617.1112641,6.254679313,33.90734026,1950.084094,1826.211969,11.39852604,0.403452048,175.8639206,372.1413456,2743.883871,2894.264937,358.1830561,222.8094734,1674.082281,364.5678458,4653.316159,2603.076137,664.1058147,2913.215025,3326.89419,1274.888438,2460.452355,2208.513355,1193.617794,311.0609045,1668.702482,358.9998942,3429.19689,1914.461053,4179.803826,7791.149476,1425.513609,755.8269166
16/10/2018 10:00,441.0959672,572.5385219,1.769201308,26.72032763,2153.226512,1855.644674,11.32001218,2.222624455,190.0898815,495.8469125,2672.119993,3240.277182,484.4162202,153.5161415,1407.71122,313.6889308,4668.608392,3092.064394,620.1939601,3605.078829,3427.049592,1785.29269,2343.343348,2322.42194,995.9801037,383.9814605,1412.320381,309.0342108,3877.680265,2586.451252,4527.375057,7693.480051,1533.81092,1253.168403
16/10/2018 11:00,236.5704604,464.9886454,5.473181325,26.68203647,2072.391121,1559.449883,9.436095969,2.121859744,161.7591404,484.8928038,2307.074149,3008.013828,447.5395712,159.8669145,1365.196889,1324.527887,4702.542854,3683.335389,582.4424559,3286.166545,3547.795972,1940.036985,2254.693879,2172.906832,1041.006639,367.8873692,1371.432957,1320.892056,4324.633099,2298.083785,5279.770374,8095.65329,1300.496534,1149.526294
16/10/2018 12:00,181.3401328,469.4726549,8.909350981,26.49346837,1905.214949,1576.847186,14.01118435,1.057279314,231.0138771,462.9539886,2349.429523,2569.778738,449.6433727,185.9023969,1318.88188,1184.644665,4420.761796,3904.198035,585.5193382,3086.040587,3389.386496,2313.251455,2371.896811,2270.425003,1228.222116,330.9264291,1323.232959,1183.41543,4114.664311,2610.958089,4907.147884,7619.737146,1225.682622,1162.591619
16/10/2018 13:00,212.6221404,514.4263756,10.61109684,35.20718129,1523.997536,2001.195645,11.10426677,1.8334624,233.9038285,383.6642293,2847.173553,2645.887105,337.5847974,149.6081102,1353.706299,660.943252,4360.837569,2592.22747,572.2080423,2706.925734,2814.105445,2069.370676,2214.291846,2226.103507,1206.829573,275.6240008,1352.416382,653.2719215,3869.032364,2033.338378,4461.920346,7463.47292,692.2783498,1041.684672
16/10/2018 14:00,237.5941617,538.2792736,10.45362035,22.33229819,1016.440635,1978.615403,15.33168547,8.594146359,354.4764947,383.5258141,2837.895916,2213.686837,360.3508202,214.1228723,1146.530563,290.360873,4342.118516,2518.072036,549.5080683,2475.39118,2578.294625,1833.605726,2200.433937,2134.61105,1244.053969,364.266019,1164.864252,289.1956924,3884.988097,1868.448111,4478.739089,7102.714478,741.2585342,1011.871521
16/10/2018 15:00,228.4836457,675.6173006,13.11168077,9.806806648,1124.502931,2061.858824,19.34072867,3.098720242,304.7467046,347.7257567,3110.992601,1997.62132,305.3465855,182.1377844,1121.734568,546.2997447,4346.659652,1839.475175,753.4469403,2550.043009,2514.814063,1720.370569,2248.598334,2143.176074,1230.379712,341.1781944,1117.379256,548.4301597,3592.746049,1353.467143,4307.015576,7138.412609,716.0245107,908.6807427
16/10/2018 16:00,469.8181694,602.3305943,11.48198468,12.11528916,858.444898,3055.432634,14.6875439,3.142513784,533.9491927,448.2120002,3989.526788,1861.158658,397.3311508,324.5590536,1197.787938,730.5813943,4348.975483,2584.214001,667.0626207,2263.512569,2047.548048,2359.199973,2244.442543,2119.413533,2002.998961,457.429168,1197.576996,725.8614117,3154.002994,2199.087788,4948.042551,7088.355943,632.782175,860.1031017
16/10/2018 17:00,514.9893205,510.5408713,12.25322925,9.693119593,1454.405088,3195.69093,14.02377691,4.287243931,981.1300962,368.3733932,4081.595203,2317.422195,314.5474711,746.3953194,1058.158871,691.7734221,4417.710983,2576.566376,681.3209394,2334.068343,1927.037442,3045.20606,2324.24475,2108.206891,2118.529967,375.8059542,1062.467722,687.312717,3300.088488,3193.920644,4724.308484,7209.309186,423.9193429,960.7075842
16/10/2018 18:00,380.5679832,432.4959657,20.91089555,9.57617859,1265.468233,2344.216683,16.15627811,2.526382546,555.2389989,346.5942717,3169.94366,2101.668038,298.2858469,383.5213173,573.470684,483.4847642,2776.540873,2228.02673,703.4100118,2458.748562,2134.32889,2468.373035,2644.723863,2312.885272,1603.019786,334.4984483,573.0105487,480.7145409,3759.581697,2147.19032,4664.692724,5670.866048,447.2704868,1429.532605
16/10/2018 19:00,509.6898342,515.3461982,13.99819897,7.420466547,1350.18858,2661.547612,17.65583773,8.635942765,376.5987914,264.4026335,3504.6286,2524.767067,237.0953711,171.7766304,427.2525361,569.5127284,1893.845223,2259.508651,1039.873467,3080.080835,2573.691547,2868.568895,2327.479532,2313.735802,4262.562348,259.4866039,428.6524979,566.7566012,4025.642419,2580.044981,4030.606858,4689.954409,769.8889764,1618.63659
16/10/2018 20:00,641.712519,486.3462721,12.63915217,8.778814926,942.5789022,2983.372902,14.62502554,2.14710226,370.3230174,362.7746581,3723.264033,2307.377584,288.5858321,203.4863051,512.3253912,716.4603938,2024.874726,3424.522826,1016.064662,2669.071809,2804.075077,2826.346147,2232.82461,2326.869913,4045.306321,328.6679483,525.4686604,711.9327713,4064.388682,2937.784211,4829.093172,5426.368977,689.2272065,1245.433613
