Days,L11-bandwidth
16/10/2018 00:00,3038.660263
16/10/2018 01:00,2841.640786
16/10/2018 02:00,2935.303315
16/10/2018 03:00,3158.510908
16/10/2018 04:00,2718.553242
16/10/2018 05:00,2721.363836
16/10/2018 06:00,2784.89814
16/10/2018 07:00,2688.131095
16/10/2018 08:00,2664.035499
16/10/2018 09:00,2743.883871
16/10/2018 10:00,2672.119993
16/10/2018 11:00,2307.074149
16/10/2018 12:00,2349.429523
16/10/2018 13:00,2847.173553
16/10/2018 14:00,2837.895916
16/10/2018 15:00,3110.992601
16/10/2018 16:00,3989.526788
16/10/2018 17:00,4081.595203
16/10/2018 18:00,3169.94366
16/10/2018 19:00,3504.6286
16/10/2018 20:00,3723.264033
16/10/2018 21:00,3161.083243
16/10/2018 22:00,3074.240958
16/10/2018 23:00,3210.297509
17/10/2018 00:00,2717.382266
17/10/2018 01:00,2386.094931
17/10/2018 02:00,3357.740657
17/10/2018 03:00,3849.747917
17/10/2018 04:00,3240.220357
17/10/2018 05:00,3419.029302
17/10/2018 06:00,3725.795416
17/10/2018 07:00,3519.919721
17/10/2018 08:00,2503.478942
17/10/2018 09:00,2673.352545
17/10/2018 10:00,2632.839221
17/10/2018 11:00,3105.249216
17/10/2018 12:00,2667.544675
17/10/2018 13:00,3168.426951
17/10/2018 14:00,3056.064433
17/10/2018 15:00,3112.678927
17/10/2018 16:00,2488.206724
17/10/2018 17:00,2750.857686
17/10/2018 18:00,4037.436314
17/10/2018 19:00,4957.424401
17/10/2018 20:00,4849.783507
17/10/2018 21:00,4393.478317
17/10/2018 22:00,4172.530359
17/10/2018 23:00,4355.09712
18/10/2018 00:00,4630.849586
18/10/2018 01:00,3382.566236
18/10/2018 02:00,3546.947412
18/10/2018 03:00,3336.639014
18/10/2018 04:00,2993.429165
18/10/2018 05:00,2399.514796
18/10/2018 06:00,3247.061014
18/10/2018 07:00,2869.778779
18/10/2018 08:00,2264.157378
18/10/2018 09:00,2720.069064
18/10/2018 10:00,3632.805833
18/10/2018 11:00,3322.726327
18/10/2018 12:00,3278.602406
18/10/2018 13:00,3715.252176
18/10/2018 14:00,3170.078431
18/10/2018 15:00,4225.987305
18/10/2018 16:00,3963.904235
18/10/2018 17:00,3212.335077
18/10/2018 18:00,4028.452791
18/10/2018 19:00,3245.704919
18/10/2018 20:00,2656.497111
18/10/2018 21:00,2547.42241
18/10/2018 22:00,2522.63941
18/10/2018 23:00,2871.253858
19/10/2018 00:00,2772.337354
19/10/2018 01:00,2852.681429
19/10/2018 02:00,3340.611668
19/10/2018 03:00,2579.914612
19/10/2018 04:00,2992.637969
19/10/2018 05:00,3754.920515
19/10/2018 06:00,3812.137875
19/10/2018 07:00,3162.820834
19/10/2018 08:00,2654.60431
19/10/2018 09:00,2806.081894
19/10/2018 10:00,2713.778032
19/10/2018 11:00,3355.435629
19/10/2018 12:00,3496.375438
19/10/2018 13:00,3030.972922
19/10/2018 14:00,3569.642021
19/10/2018 15:00,3416.463724
19/10/2018 16:00,3062.568837
19/10/2018 17:00,3186.06661
19/10/2018 18:00,2740.504499
19/10/2018 19:00,3026.965953
19/10/2018 20:00,2957.498648
19/10/2018 21:00,3698.437881
19/10/2018 22:00,3807.544401
19/10/2018 23:00,4006.72286
20/10/2018 00:00,3840.894914
20/10/2018 01:00,3539.295221
20/10/2018 02:00,2696.6114
20/10/2018 03:00,3317.111024
20/10/2018 04:00,3840.619208
20/10/2018 05:00,3272.074247
20/10/2018 06:00,3407.660079
20/10/2018 07:00,2942.694441
20/10/2018 08:00,2603.352989
20/10/2018 09:00,2821.389307
20/10/2018 10:00,2945.07134
20/10/2018 11:00,2701.047206
20/10/2018 12:00,2674.31949
20/10/2018 13:00,3155.150535
20/10/2018 14:00,3141.374841
20/10/2018 15:00,2950.131887
20/10/2018 16:00,3587.641446
20/10/2018 17:00,3482.344409
20/10/2018 18:00,3483.708545
20/10/2018 19:00,4251.646205
20/10/2018 20:00,4208.626008
20/10/2018 21:00,3938.953763
20/10/2018 22:00,3898.358144
20/10/2018 23:00,3809.712606
21/10/2018 00:00,3813.035306
21/10/2018 01:00,3420.797685
21/10/2018 02:00,3199.557762
21/10/2018 03:00,3020.337972
21/10/2018 04:00,3334.947973
21/10/2018 05:00,2850.497627
21/10/2018 06:00,3183.900788
21/10/2018 07:00,3441.794142
21/10/2018 08:00,3219.369608
21/10/2018 09:00,3478.463156
21/10/2018 10:00,3855.800138
21/10/2018 11:00,3426.851906
21/10/2018 12:00,3139.369347
21/10/2018 13:00,3185.423381
21/10/2018 14:00,3374.878581
21/10/2018 15:00,3554.352622
21/10/2018 16:00,3382.717039
21/10/2018 17:00,2926.912525
21/10/2018 18:00,2330.758124
21/10/2018 19:00,2602.200352
21/10/2018 20:00,2478.480458
21/10/2018 21:00,2858.282122
21/10/2018 22:00,3020.051691
21/10/2018 23:00,2497.352694
22/10/2018 00:00,2569.858646
22/10/2018 01:00,2538.705038
22/10/2018 02:00,2359.680409
22/10/2018 03:00,2352.602408
22/10/2018 04:00,2384.404199
22/10/2018 05:00,2088.197283
22/10/2018 06:00,1977.005011
22/10/2018 07:00,1910.748015
22/10/2018 08:00,2610.178923
22/10/2018 09:00,2776.932797
22/10/2018 10:00,2699.027938
22/10/2018 11:00,2306.913981
22/10/2018 12:00,2415.698571
22/10/2018 13:00,1726.293402
22/10/2018 14:00,1861.720698
22/10/2018 15:00,2438.978481
22/10/2018 16:00,2215.984491
22/10/2018 17:00,2210.418243
22/10/2018 18:00,2310.920991
22/10/2018 19:00,1907.727991
22/10/2018 20:00,2085.687444
22/10/2018 21:00,1702.805794
22/10/2018 22:00,1725.376241
22/10/2018 23:00,2294.619673
23/10/2018 00:00,2064.473257
23/10/2018 01:00,1787.544832
23/10/2018 02:00,2151.927874
23/10/2018 03:00,1830.472968
23/10/2018 04:00,1210.645972
23/10/2018 05:00,1368.541158
23/10/2018 06:00,2140.787361
23/10/2018 07:00,1727.368649
23/10/2018 08:00,1472.613919
23/10/2018 09:00,1595.082948
23/10/2018 10:00,1947.499627
23/10/2018 11:00,1826.148638
23/10/2018 12:00,1893.063675
23/10/2018 13:00,1969.512309
23/10/2018 14:00,2375.523367
23/10/2018 15:00,2423.977576
23/10/2018 16:00,2715.99955
23/10/2018 17:00,2871.424276
23/10/2018 18:00,2332.675374
23/10/2018 19:00,2199.071439
23/10/2018 20:00,2400.615647
23/10/2018 21:00,2783.638487
23/10/2018 22:00,1994.644713
23/10/2018 23:00,2172.125865
24/10/2018 00:00,2021.822915
24/10/2018 01:00,2018.596233
24/10/2018 02:00,2226.055835
24/10/2018 03:00,2274.404913
24/10/2018 04:00,2105.106084
24/10/2018 05:00,2336.790362
24/10/2018 06:00,1893.501249
24/10/2018 07:00,1886.354105
24/10/2018 08:00,1928.00616
24/10/2018 09:00,2048.435623
24/10/2018 10:00,2026.597417
24/10/2018 11:00,1912.287166
24/10/2018 12:00,1957.637317
24/10/2018 13:00,2169.799824
24/10/2018 14:00,2027.159847
24/10/2018 15:00,2042.416856
24/10/2018 16:00,2181.662369
24/10/2018 17:00,2257.284946
24/10/2018 18:00,2210.958571
24/10/2018 19:00,1910.416331
24/10/2018 20:00,2027.751394
24/10/2018 21:00,1990.484032
24/10/2018 22:00,2137.657032
24/10/2018 23:00,2200.18287
25/10/2018 00:00,2101.533015
25/10/2018 01:00,1732.093369
25/10/2018 02:00,1926.05884
25/10/2018 03:00,2096.55184
25/10/2018 04:00,2096.638001
25/10/2018 05:00,2635.835829
25/10/2018 06:00,2274.821513
25/10/2018 07:00,1997.665445
25/10/2018 08:00,1709.930917
25/10/2018 09:00,2143.927992
25/10/2018 10:00,1987.141538
25/10/2018 11:00,1949.361024
25/10/2018 12:00,2510.365086
25/10/2018 13:00,2729.093208
25/10/2018 14:00,2728.081874
25/10/2018 15:00,6527.429927
25/10/2018 16:00,6311.687311
25/10/2018 17:00,4446.541244
25/10/2018 18:00,3113.677428
25/10/2018 19:00,3942.749282
25/10/2018 20:00,2916.927397
25/10/2018 21:00,2556.107419
25/10/2018 22:00,3393.847084
25/10/2018 23:00,2928.120209
26/10/2018 00:00,3064.201467
26/10/2018 01:00,2847.928949
26/10/2018 02:00,2565.904005
26/10/2018 03:00,2543.087192
26/10/2018 04:00,2986.538591
26/10/2018 05:00,3507.895049
26/10/2018 06:00,3827.145537
26/10/2018 07:00,3211.543046
26/10/2018 08:00,3074.009211
26/10/2018 09:00,2938.485616
26/10/2018 10:00,4007.63664
26/10/2018 11:00,3901.104357
26/10/2018 12:00,3999.814771
26/10/2018 13:00,3819.318639
26/10/2018 14:00,4538.187222
26/10/2018 15:00,4655.931366
26/10/2018 16:00,4676.70384
26/10/2018 17:00,4148.69002
26/10/2018 18:00,4366.135057
26/10/2018 19:00,3482.841601
26/10/2018 20:00,3779.421882
26/10/2018 21:00,3433.43921
26/10/2018 22:00,3765.423002
26/10/2018 23:00,3692.440845
27/10/2018 00:00,3696.328756
27/10/2018 01:00,3546.675403
27/10/2018 02:00,3359.889467
27/10/2018 03:00,3091.126213
27/10/2018 04:00,3046.700584
27/10/2018 05:00,3029.290892
27/10/2018 06:00,3268.923148
27/10/2018 07:00,3115.354363
27/10/2018 08:00,3943.045025
27/10/2018 09:00,3121.513529
27/10/2018 10:00,3249.878897
27/10/2018 11:00,3388.384661
27/10/2018 12:00,3530.547501
27/10/2018 13:00,3322.8006
27/10/2018 14:00,3903.497025
27/10/2018 15:00,4172.967917
27/10/2018 16:00,3290.522374
27/10/2018 17:00,3346.565965
27/10/2018 18:00,3162.342964
27/10/2018 19:00,2805.391197
27/10/2018 20:00,2490.939546
27/10/2018 21:00,2298.127562
27/10/2018 22:00,2605.650568
27/10/2018 23:00,2484.33158
28/10/2018 00:00,2333.613705
