Days,L12-bandwidth
16/10/2018 00:00,2532.918323
16/10/2018 01:00,2558.222984
16/10/2018 02:00,2273.447047
16/10/2018 03:00,1602.350766
16/10/2018 04:00,2090.785477
16/10/2018 05:00,2369.289487
16/10/2018 06:00,2460.597316
16/10/2018 07:00,3656.290449
16/10/2018 08:00,3265.958463
16/10/2018 09:00,2894.264937
16/10/2018 10:00,3240.277182
16/10/2018 11:00,3008.013828
16/10/2018 12:00,2569.778738
16/10/2018 13:00,2645.887105
16/10/2018 14:00,2213.686837
16/10/2018 15:00,1997.62132
16/10/2018 16:00,1861.158658
16/10/2018 17:00,2317.422195
16/10/2018 18:00,2101.668038
16/10/2018 19:00,2524.767067
16/10/2018 20:00,2307.377584
16/10/2018 21:00,2858.026792
16/10/2018 22:00,1804.698477
16/10/2018 23:00,2177.617508
17/10/2018 00:00,2214.90011
17/10/2018 01:00,1902.605624
17/10/2018 02:00,1870.011949
17/10/2018 03:00,1922.469532
17/10/2018 04:00,1713.046267
17/10/2018 05:00,1797.873441
17/10/2018 06:00,1936.025588
17/10/2018 07:00,2153.708602
17/10/2018 08:00,2336.233075
17/10/2018 09:00,2001.868496
17/10/2018 10:00,2261.667769
17/10/2018 11:00,1891.17498
17/10/2018 12:00,1554.428788
17/10/2018 13:00,1838.337628
17/10/2018 14:00,1762.983515
17/10/2018 15:00,1828.892017
17/10/2018 16:00,1716.15887
17/10/2018 17:00,1909.14664
17/10/2018 18:00,1913.030606
17/10/2018 19:00,1837.891788
17/10/2018 20:00,1884.35615
17/10/2018 21:00,2093.780459
17/10/2018 22:00,1824.745606
17/10/2018 23:00,2194.115817
18/10/2018 00:00,1980.559272
18/10/2018 01:00,2129.424662
18/10/2018 02:00,2132.302071
18/10/2018 03:00,1882.253202
18/10/2018 04:00,2007.753041
18/10/2018 05:00,1926.939622
18/10/2018 06:00,1864.85523
18/10/2018 07:00,1810.651782
18/10/2018 08:00,1763.422715
18/10/2018 09:00,1578.076278
18/10/2018 10:00,1547.636965
18/10/2018 11:00,1719.459403
18/10/2018 12:00,1685.388024
18/10/2018 13:00,1872.47481
18/10/2018 14:00,2186.093407
18/10/2018 15:00,2158.099366
18/10/2018 16:00,2387.913751
18/10/2018 17:00,1907.064052
18/10/2018 18:00,2668.189238
18/10/2018 19:00,2254.476382
18/10/2018 20:00,1988.460154
18/10/2018 21:00,2325.623913
18/10/2018 22:00,2441.178817
18/10/2018 23:00,2417.337586
19/10/2018 00:00,1798.963869
19/10/2018 01:00,1786.84672
19/10/2018 02:00,1699.304564
19/10/2018 03:00,1393.493297
19/10/2018 04:00,1395.233796
19/10/2018 05:00,1533.162842
19/10/2018 06:00,1838.24035
19/10/2018 07:00,1439.194338
19/10/2018 08:00,1395.414258
19/10/2018 09:00,1325.883077
19/10/2018 10:00,1402.555058
19/10/2018 11:00,1419.996596
19/10/2018 12:00,1470.902138
19/10/2018 13:00,1579.481809
19/10/2018 14:00,2016.602011
19/10/2018 15:00,2907.965419
19/10/2018 16:00,2920.022359
19/10/2018 17:00,1623.118026
19/10/2018 18:00,2027.062654
19/10/2018 19:00,2020.200826
19/10/2018 20:00,1716.479259
19/10/2018 21:00,1396.341961
19/10/2018 22:00,1582.370573
19/10/2018 23:00,1535.170344
20/10/2018 00:00,1788.898851
20/10/2018 01:00,1848.211063
20/10/2018 02:00,1868.39764
20/10/2018 03:00,1702.841365
20/10/2018 04:00,1962.183007
20/10/2018 05:00,2433.87584
20/10/2018 06:00,1847.425757
20/10/2018 07:00,1749.193775
20/10/2018 08:00,1768.502958
20/10/2018 09:00,2073.827387
20/10/2018 10:00,2181.667565
20/10/2018 11:00,2146.185494
20/10/2018 12:00,1871.803034
20/10/2018 13:00,2122.392732
20/10/2018 14:00,1607.180277
20/10/2018 15:00,1454.797677
20/10/2018 16:00,1390.391314
20/10/2018 17:00,1756.803717
20/10/2018 18:00,2029.316594
20/10/2018 19:00,1597.124972
20/10/2018 20:00,1965.774039
20/10/2018 21:00,1551.087173
20/10/2018 22:00,2296.839073
20/10/2018 23:00,2372.053472
21/10/2018 00:00,2138.44926
21/10/2018 01:00,2383.254403
21/10/2018 02:00,1926.273328
21/10/2018 03:00,1975.426194
21/10/2018 04:00,2002.637923
21/10/2018 05:00,1879.918028
21/10/2018 06:00,1904.901983
21/10/2018 07:00,1914.220766
21/10/2018 08:00,1731.592444
21/10/2018 09:00,2200.526996
21/10/2018 10:00,2070.223374
21/10/2018 11:00,1441.983618
21/10/2018 12:00,1211.523963
21/10/2018 13:00,1693.021124
21/10/2018 14:00,1530.171239
21/10/2018 15:00,1718.230956
21/10/2018 16:00,1625.851676
21/10/2018 17:00,1392.678903
21/10/2018 18:00,1335.316146
21/10/2018 19:00,1313.358905
21/10/2018 20:00,1368.094175
21/10/2018 21:00,1506.956658
21/10/2018 22:00,1494.947501
21/10/2018 23:00,1547.999374
22/10/2018 00:00,1743.856222
22/10/2018 01:00,2007.861425
22/10/2018 02:00,2070.047629
22/10/2018 03:00,1134.2678
22/10/2018 04:00,1714.128068
22/10/2018 05:00,2064.35142
22/10/2018 06:00,1420.946334
22/10/2018 07:00,1453.998865
22/10/2018 08:00,1830.247107
22/10/2018 09:00,1694.868286
22/10/2018 10:00,1904.880746
22/10/2018 11:00,1982.865335
22/10/2018 12:00,1777.081991
22/10/2018 13:00,1558.741878
22/10/2018 14:00,2164.599846
22/10/2018 15:00,1743.979272
22/10/2018 16:00,1513.790119
22/10/2018 17:00,1441.999191
22/10/2018 18:00,1869.272247
22/10/2018 19:00,1914.51759
22/10/2018 20:00,1741.856842
22/10/2018 21:00,1662.087819
22/10/2018 22:00,1391.661933
22/10/2018 23:00,1457.27833
23/10/2018 00:00,1425.771951
23/10/2018 01:00,1577.763477
23/10/2018 02:00,1725.631738
23/10/2018 03:00,1621.398342
23/10/2018 04:00,1604.911705
23/10/2018 05:00,1567.75292
23/10/2018 06:00,1526.929004
23/10/2018 07:00,1372.831285
23/10/2018 08:00,1611.62752
23/10/2018 09:00,2003.527016
23/10/2018 10:00,1734.77853
23/10/2018 11:00,1677.986983
23/10/2018 12:00,1501.240641
23/10/2018 13:00,1546.5298
23/10/2018 14:00,1939.307823
23/10/2018 15:00,1926.437377
23/10/2018 16:00,1831.785011
23/10/2018 17:00,1895.634721
23/10/2018 18:00,1758.432411
23/10/2018 19:00,1840.491301
23/10/2018 20:00,1634.547268
23/10/2018 21:00,1409.740793
23/10/2018 22:00,1550.708534
23/10/2018 23:00,2153.175147
24/10/2018 00:00,2106.939848
24/10/2018 01:00,1744.017617
24/10/2018 02:00,1685.853073
24/10/2018 03:00,1751.999654
24/10/2018 04:00,1612.366316
24/10/2018 05:00,2076.208756
24/10/2018 06:00,1845.969862
24/10/2018 07:00,1772.861858
24/10/2018 08:00,1798.242677
24/10/2018 09:00,1611.690751
24/10/2018 10:00,1551.061504
24/10/2018 11:00,1499.762385
24/10/2018 12:00,1740.479862
24/10/2018 13:00,2676.410787
24/10/2018 14:00,2815.383936
24/10/2018 15:00,2410.535146
24/10/2018 16:00,2306.928101
24/10/2018 17:00,2323.53341
24/10/2018 18:00,2136.833272
24/10/2018 19:00,2385.395848
24/10/2018 20:00,2180.014419
24/10/2018 21:00,1869.874013
24/10/2018 22:00,1907.461226
24/10/2018 23:00,1877.789893
25/10/2018 00:00,1521.205848
25/10/2018 01:00,1635.696027
25/10/2018 02:00,1635.252744
25/10/2018 03:00,1391.413858
25/10/2018 04:00,1870.015509
25/10/2018 05:00,1857.585198
25/10/2018 06:00,2149.801532
25/10/2018 07:00,2150.831498
25/10/2018 08:00,2120.461481
25/10/2018 09:00,2573.022756
25/10/2018 10:00,1843.361635
25/10/2018 11:00,1510.488666
25/10/2018 12:00,1409.908714
25/10/2018 13:00,1533.926063
25/10/2018 14:00,1821.32184
25/10/2018 15:00,1709.284332
