Days,L2-bandwidth
16/10/2018 00:00,364.4173997
16/10/2018 01:00,462.2492658
16/10/2018 02:00,641.9444133
16/10/2018 03:00,339.7140289
16/10/2018 04:00,493.6924826
16/10/2018 05:00,621.8555978
16/10/2018 06:00,458.3254558
16/10/2018 07:00,360.9584741
16/10/2018 08:00,536.3885457
16/10/2018 09:00,617.1112641
16/10/2018 10:00,572.5385219
16/10/2018 11:00,464.9886454
16/10/2018 12:00,469.4726549
16/10/2018 13:00,514.4263756
16/10/2018 14:00,538.2792736
16/10/2018 15:00,675.6173006
16/10/2018 16:00,602.3305943
16/10/2018 17:00,510.5408713
16/10/2018 18:00,432.4959657
16/10/2018 19:00,515.3461982
16/10/2018 20:00,486.3462721
16/10/2018 21:00,557.227963
16/10/2018 22:00,463.2514706
16/10/2018 23:00,655.4658086
17/10/2018 00:00,520.2528489
17/10/2018 01:00,699.931158
17/10/2018 02:00,921.5083589
17/10/2018 03:00,979.9309882
17/10/2018 04:00,1354.633626
17/10/2018 05:00,1339.32855
17/10/2018 06:00,1138.330496
17/10/2018 07:00,813.5799509
17/10/2018 08:00,946.4890587
17/10/2018 09:00,1073.776231
17/10/2018 10:00,843.4898035
17/10/2018 11:00,765.9012754
17/10/2018 12:00,694.6755662
17/10/2018 13:00,598.3150622
17/10/2018 14:00,558.9395174
17/10/2018 15:00,480.0623887
17/10/2018 16:00,621.887019
17/10/2018 17:00,547.4209956
17/10/2018 18:00,520.3024952
17/10/2018 19:00,408.4525632
17/10/2018 20:00,551.9816354
17/10/2018 21:00,499.8069307
17/10/2018 22:00,479.8323104
17/10/2018 23:00,480.9226637
18/10/2018 00:00,483.9008441
18/10/2018 01:00,371.8082775
18/10/2018 02:00,445.7340916
18/10/2018 03:00,470.7247454
18/10/2018 04:00,384.489154
18/10/2018 05:00,447.893497
18/10/2018 06:00,427.8804358
18/10/2018 07:00,713.2456286
18/10/2018 08:00,321.4049751
18/10/2018 09:00,426.0973523
18/10/2018 10:00,506.2965652
18/10/2018 11:00,479.414461
18/10/2018 12:00,459.2577461
18/10/2018 13:00,489.7752214
18/10/2018 14:00,356.3007861
18/10/2018 15:00,302.8439659
18/10/2018 16:00,356.3418537
18/10/2018 17:00,410.1102535
18/10/2018 18:00,364.6147985
18/10/2018 19:00,356.2724722
18/10/2018 20:00,413.7654263
18/10/2018 21:00,405.1633784
18/10/2018 22:00,387.5760056
18/10/2018 23:00,521.9298847
19/10/2018 00:00,828.8071469
19/10/2018 01:00,761.7817709
19/10/2018 02:00,764.9981304
19/10/2018 03:00,615.0366782
19/10/2018 04:00,705.7212168
19/10/2018 05:00,656.3103363
19/10/2018 06:00,770.3273646
19/10/2018 07:00,667.6934246
19/10/2018 08:00,651.384468
19/10/2018 09:00,599.0870971
19/10/2018 10:00,593.4204182
19/10/2018 11:00,749.3393735
19/10/2018 12:00,830.2904627
19/10/2018 13:00,807.9434952
19/10/2018 14:00,820.7447971
19/10/2018 15:00,815.5891549
19/10/2018 16:00,718.7618853
19/10/2018 17:00,867.0782967
19/10/2018 18:00,712.9687922
19/10/2018 19:00,731.0513037
19/10/2018 20:00,714.0278709
19/10/2018 21:00,736.8079954
19/10/2018 22:00,888.7629054
19/10/2018 23:00,760.8298515
20/10/2018 00:00,665.8338928
20/10/2018 01:00,651.3161394
20/10/2018 02:00,542.0770391
20/10/2018 03:00,742.5768994
20/10/2018 04:00,1118.436181
20/10/2018 05:00,770.3930982
