Days,L1,L11,L15,L27
16/10/2018 00:00,2982263021,30386602625,5365745430,5435448069
16/10/2018 01:00,2374357169,28416407864,6551919830,6602523257
16/10/2018 02:00,2041501277,29353033147,7609635124,7605569084
16/10/2018 03:00,1425840687,31585109078,8839443430,8891677617
16/10/2018 04:00,4293053595,27185532419,11824770180,11773136347
16/10/2018 05:00,1831882813,27213638363,12836858105,12923948413
16/10/2018 06:00,1890386774,27848981395,14665372181,14694244372
16/10/2018 07:00,2052861276,26881310948,14266169745,14272368498
16/10/2018 08:00,3893706558,26640354993,15576395753,15638486282
16/10/2018 09:00,1879392461,27438838706,16740822813,16687024819
16/10/2018 10:00,4410959672,26721199927,14077112200,14123203806
16/10/2018 11:00,2365704604,23070741488,13651968891,13714329566
16/10/2018 12:00,1813401328,23494295233,13188818796,13232329592
16/10/2018 13:00,2126221404,28471735529,13537062989,13524163816
16/10/2018 14:00,2375941617,28378959157,11465305630,11648642520
16/10/2018 15:00,2284836457,31109926006,11217345681,11173792560
16/10/2018 16:00,4698181694,39895267877,11977879375,11975769956
16/10/2018 17:00,5149893205,40815952031,10581588708,10624677222
16/10/2018 18:00,3805679832,31699436597,5734706840,5730105487
16/10/2018 19:00,5096898342,35046286004,4272525361,4286524979
16/10/2018 20:00,6417125190,37232640332,5123253912,5254686604
16/10/2018 21:00,3175821455,31610832425,1639594714,1611377930
16/10/2018 22:00,2498843298,30742409581,1946211263,1950780933
16/10/2018 23:00,2478656281,32102975094,3341382569,3349037577
17/10/2018 00:00,1974348172,27173822663,1362530311,1406358334
17/10/2018 01:00,1944713527,23860949313,2823819911,2788196722
17/10/2018 02:00,3254556340,33577406574,1529258488,1552020723
17/10/2018 03:00,3162074873,38497479170,835131913.7,832035261.4
17/10/2018 04:00,2936790134,32402203571,714319603.2,854908534.2
17/10/2018 05:00,2063711944,34190293018,4154577493,4233617804
17/10/2018 06:00,2307206949,37257954163,7856650144,7877542694
17/10/2018 07:00,2087031455,35199197207,3367046811,3371193305
17/10/2018 08:00,2529765666,25034789422,6097614780,6080484740
17/10/2018 09:00,1580115459,26733525453,8341341911,8369098697
17/10/2018 10:00,1813208159,26328392205,6519725477,6482140902
17/10/2018 11:00,1554748845,31052492162,10060670185,10087266810
17/10/2018 12:00,2144392216,26675446748,12982105908,13029480483
17/10/2018 13:00,2580056652,31684269512,13232260292,13302309100
17/10/2018 14:00,2726495633,30560644333,12550403768,12573767617
17/10/2018 15:00,2931728476,31126789265,11613214247,11643315203
17/10/2018 16:00,2908290098,24882067236,15061335442,15491914106
17/10/2018 17:00,2415917122,27508576858,13688479707,14034128456
17/10/2018 18:00,3516916601,40374363143,9753782001,9842144465
17/10/2018 19:00,2274084580,49574244010,8999808458,9032562261
17/10/2018 20:00,2103757038,48497835068,9630240163,9692173995
17/10/2018 21:00,4828695196,43934783168,10579966014,10644427542
17/10/2018 22:00,2631527228,41725303594,7656746562,7606612354
17/10/2018 23:00,2227423287,43550971202,6468176317,6483193370
18/10/2018 00:00,2071223800,46308495857,5831071502,5865312200
18/10/2018 01:00,4652949030,33825662357,6342041235,6329970379
18/10/2018 02:00,5305014746,35469474116,5517810000,5473388022
18/10/2018 03:00,2220204702,33366390139,4560601598,4635910198
18/10/2018 04:00,1835096283,29934291654,4208533439,4337781393
18/10/2018 05:00,2175384752,23995147963,4795621521,4832915994
18/10/2018 06:00,2447519140,32470610144,5584583638,5567959302
18/10/2018 07:00,1461039436,28697787787,4787203433,4860622456
18/10/2018 08:00,1020417270,22641573783,3751250961,3738721873
18/10/2018 09:00,1271947278,27200690635,3422581182,3445576688
18/10/2018 10:00,1696828096,36328058326,4664283451,4714291078
18/10/2018 11:00,1553419491,33227263265,3102552538,3092207331
18/10/2018 12:00,1320886579,32786024061,3099369638,3207605309
18/10/2018 13:00,2287787618,37152521758,4184341432,4221338283
18/10/2018 14:00,3616218016,31700784312,6365955564,6386631329
18/10/2018 15:00,2511394560,42259873053,6960757400,6946805079
18/10/2018 16:00,2529511848,39639042349,5685587234,5834536437
18/10/2018 17:00,2644857419,32123350770,2990377288,2963791963
18/10/2018 18:00,4262272653,40284527909,2076671509,2078895806
18/10/2018 19:00,2219878453,32457049185,1921371607,1994644648
18/10/2018 20:00,2339410741,26564971111,2790286498,2810158882
18/10/2018 21:00,3466993580,25474224100,4860956962,4920451400
18/10/2018 22:00,1493090146,25226394099,5693864709,5700945022
18/10/2018 23:00,2414777776,28712538583,4092239803,4045460237
19/10/2018 00:00,2036123129,27723373538,4489098775,4553463522
19/10/2018 01:00,2251177649,28526814293,4919717560,4913641813
19/10/2018 02:00,1404449361,33406116677,3713723818,3749693882
19/10/2018 03:00,1052595343,25799146115,5032567466,5096931947
19/10/2018 04:00,1115756987,29926379692,4114761141,4105025212
19/10/2018 05:00,2134105075,37549205153,1999716368,1989942904
19/10/2018 06:00,1401298295,38121378745,1520223042,1576276494
19/10/2018 07:00,1391190454,31628208342,1915485034,1929550775
19/10/2018 08:00,1089690740,26546043101,1630798056,1681548175
19/10/2018 09:00,1296309416,28060818935,1856419759,1855234562
19/10/2018 10:00,998131895.7,27137780318,1828599419,1874240961
19/10/2018 11:00,1335617363,33554356289,1893895766,1923375503
19/10/2018 12:00,1167384357,34963754378,4070738314,4079536737
19/10/2018 13:00,1656950553,30309729215,3065608780,3068732042
19/10/2018 14:00,1998189144,35696420210,1498273383,1443236505
19/10/2018 15:00,3600766810,34164637239,2278030886,2360288832
19/10/2018 16:00,3389424078,30625688374,2123985194,2121551226
19/10/2018 17:00,1464879427,31860666098,2821770109,2819290457
19/10/2018 18:00,2134992692,27405044988,2595858684,2598422025
19/10/2018 19:00,2046677991,30269659533,4391750135,4428862227
19/10/2018 20:00,1597628764,29574986481,5011819703,5092014217
19/10/2018 21:00,1534175576,36984378808,6661268232,6671242922
19/10/2018 22:00,2226838746,38075444006,7315692967,7313035510
19/10/2018 23:00,1279522880,40067228596,6543672776,6548969538
20/10/2018 00:00,2823343264,38408949142,7265584706,7229136817
20/10/2018 01:00,2999273684,35392952207,6093003293,6190358562
20/10/2018 02:00,1365744049,26966114000,5435307296,5437305553
20/10/2018 03:00,1052665300,33171110243,5772679919,5875880787
20/10/2018 04:00,2057154347,38406192080,8708895874,8709627931
20/10/2018 05:00,6230503486,32720742465,7828376369,7885058583
20/10/2018 06:00,1426956193,34076600789,6649827325,6672332955
20/10/2018 07:00,837765672.3,29426944413,6816984936,6866020621
20/10/2018 08:00,1267926386,26033529889,5795074205,5779909564
20/10/2018 09:00,1101438146,28213893072,10624218409,10647477708
20/10/2018 10:00,879518046.6,29450713395,14287674899,14288464331
20/10/2018 11:00,2051477391,27010472055,15941466406,15975282955
20/10/2018 12:00,1054401057,26743194904,17685764099,17701365413
20/10/2018 13:00,875143908.1,31551505350,21650828318,21601426963
20/10/2018 14:00,1006654928,31413748412,21980932225,22020574989
20/10/2018 15:00,895157842.4,29501318873,20091906129,20203157300
20/10/2018 16:00,1202974370,35876414455,17775591884,17818323533
20/10/2018 17:00,906670083.3,34823444089,16562841683,16488643211
20/10/2018 18:00,2047803324,34837085452,15100309326,15177261188
20/10/2018 19:00,920013320.9,42516462049,11729202028,11712388447
20/10/2018 20:00,2816662488,42086260076,9940851960,9991818073
20/10/2018 21:00,966774912.1,39389537633,7439760881,7445510068
20/10/2018 22:00,1139322205,38983581435,5092043540,5122479218
20/10/2018 23:00,1274223719,38097126062,4186998343,4145043658
21/10/2018 00:00,1353899520,38130353055,3087222596,3162316626
21/10/2018 01:00,1804399607,34207976846,2399178340,2415338412
21/10/2018 02:00,1641829884,31995577618,1845494212,1856301857
21/10/2018 03:00,662055321.7,30203379724,1807408450,1755578846
21/10/2018 04:00,2033415395,33349479734,1349804344,1387609665
21/10/2018 05:00,1402856112,28504976274,2899737301,2897369868
21/10/2018 06:00,1968783721,31839007875,10293570738,10391415112
21/10/2018 07:00,1010082606,34417941415,12847033290,12871217343
21/10/2018 08:00,1176413291,32193696082,14495929794,14500958041
21/10/2018 09:00,1815993865,34784631561,13097241336,13080793166
21/10/2018 10:00,876147182,38558001382,15591902026,15633218879
21/10/2018 11:00,1111610976,34268519059,16215990986,16215808057
21/10/2018 12:00,1145997564,31393693465,15354878772,15391168599
21/10/2018 13:00,1608949283,31854233812,16520241745,16521332092
21/10/2018 14:00,1333654410,33748785805,15612262568,15634737503
21/10/2018 15:00,1608859098,35543526215,14783758787,14821512385
21/10/2018 16:00,1175615701,33827170388,12826427728,12883509233
21/10/2018 17:00,1117079359,29269125245,17429756127,17405109449
21/10/2018 18:00,1581813852,23307581241,18500215605,18510740458
21/10/2018 19:00,1755277506,26022003515,16488243775,16560079216
21/10/2018 20:00,1749030034,24784804577,16812942678,16901621063
21/10/2018 21:00,967601466.2,28582821215,11480902656,11480528653
21/10/2018 22:00,1335283251,30200516905,11011251429,11088430290
21/10/2018 23:00,1238891634,24973526937,8965575784,9007144908
22/10/2018 00:00,987371137.8,25698586461,9822150782,9758289341
22/10/2018 01:00,1601523003,25387050382,5430679580,5444310076
22/10/2018 02:00,1014375218,23596804087,5168739514,5154153167
22/10/2018 03:00,1152349545,23526024078,3163654328,3243429382
22/10/2018 04:00,1590069606,23844041988,2388726294,2390428990
22/10/2018 05:00,2086733509,20881972831,3565424874,3606751577
22/10/2018 06:00,1882699797,19770050114,2679856612,2680041437
22/10/2018 07:00,1721700013,19107480149,3810270237,3777335966
22/10/2018 08:00,1111320726,26101789231,7938353127,7944803492
22/10/2018 09:00,1555737815,27769327972,25407641477,25490788073
22/10/2018 10:00,1756563260,26990279375,25219163696,25302990444
22/10/2018 11:00,1358864648,23069139809,24671640739,24721858283
